id,modularity_class
2,1
1,0
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,0
291,0
292,0
293,1
294,0
295,1
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,1
322,1
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,0
336,1
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,1
375,0
376,0
377,1
378,0
379,1
380,0
381,1
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,1
390,0
391,1
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,1
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,0
420,0
421,0
422,0
423,0
424,1
425,1
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,1
441,0
442,1
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,1
464,0
