id,modularity_class
武钢股份,0
山东钢铁,0
华夏银行,0
南方航空,0
中国联通,0
宁波联合,0
黄山旅游,0
海信电器,0
皖维高新,0
葛洲坝,0
新疆天业,0
啤酒花,0
广州发展,0
青山纸业,0
重庆路桥,0
美尔雅,0
东方航空,0
三峡水利,0
铁龙物流,0
岷江水电,0
东湖高新,0
西部资源,0
*ST南纸,0
太原重工,0
黄河旋风,0
中国巨石,0
东安动力,0
中牧股份,0
南山铝业,0
鲁商置业,0
赤天化,0
昌九生化,0
海南椰岛,0
华业资本,0
凯乐科技,0
北京城建,0
国电南自,0
赣粤高速,0
太化股份,0
南钢股份,0
商业城,0
酒钢宏兴,0
华泰股份,0
国栋建设,0
天利高新,0
华联综超,0
宁波韵升,0
五洲交通,0
金瑞科技,0
金山股份,0
三友化工,0
吉恩镍业,0
时代新材,0
百利电气,0
科力远,0
亨通光电,0
天药股份,0
龙元建设,0
华丽家族,0
江南高纤,0
栖霞建设,0
亿晶光电,0
大西洋,0
山鹰纸业,0
安阳钢铁,0
精达股份,0
氯碱化工,0
大商股份,0
欧亚集团,0
南宁百货,0
*ST金化,0
云维股份,0
*ST新梅,0
苏州高新,0
华远地产,0
江中药业,0
综艺股份,0
西藏城投,0
友好集团,0
新钢股份,0
鲁银投资,0
福建水泥,0
悦达投资,0
昆明机床,0
神马股份,0
华北制药,0
厦工股份,0
人民同泰,0
梅花生物,0
亚泰集团,0
渤海活塞,0
株冶集团,0
岳阳林纸,0
宝胜股份,0
文山电力,0
柳钢股份,0
重庆钢铁,0
中国国航,0
北京银行,0
桐昆股份,0
骆驼股份,0
江南嘉捷,0
交通银行,0
兴业证券,0
工商银行,0
中国石油,0
中国远洋,0
大唐发电,0
金隅股份,0
丰林集团,0
浦发银行,1
上港集团,1
首创股份,1
中直股份,1
象屿股份,1
华润双鹤,1
*ST光学,1
青鸟华光,1
东风科技,1
海泰发展,1
博信股份,1
同仁堂,1
东方金钰,1
中视传媒,1
特变电工,1
禾嘉股份,1
中科英华,1
浙江东方,1
太极集团,1
道博股份,1
中青旅,1
长春一东,1
廊坊发展,1
航天机电,1
宝硕股份,1
中体产业,1
天坛生物,1
武汉控股,1
上海贝岭,1
瑞茂通,1
格力地产,1
长城电工,1
大唐电信,1
江苏吴中,1
金宇集团,1
福日电子,1
安彩高科,1
西藏药业,1
*ST秦岭,1
太龙药业,1
天津松江,1
山水文化,1
铜峰电子,1
南纺股份,1
中恒集团,1
首旅酒店,1
ST景谷,1
外运发展,1
开开实业,1
恒瑞医药,1
东方创业,1
重庆港九,1
浦东建设,1
大恒科技,1
亿阳信通,1
华仪电气,1
*ST南化,1
平高电气,1
洪都航空,1
瀚蓝环境,1
中新药业,1
天通股份,1
澳柯玛,1
西藏珠峰,1
长江通信,1
亚宝药业,1
新农开发,1
中文传媒,1
华菱星马,1
天科股份,1
广东明珠,1
金地集团,1
山东金泰,1
海澜之家,1
抚顺特钢,1
现代制药,1
仰帆控股,1
北方导航,1
通威股份,1
*ST国通,1
金证股份,1
博通股份,1
洪城水业,1
空港股份,1
湘邮科技,1
千金药业,1
双良节能,1
信威集团,1
晋西车轴,1
国药股份,1
海岛建设,1
贵航股份,1
长园集团,1
*ST狮头,1
新疆城建,1
慧球科技,1
江西长运,1
恒生电子,1
天华院,1
卧龙电气,1
海油工程,1
长电科技,1
仪电电子,1
市北高新,1
汇通能源,1
*ST沪科,1
大众交通,1
天宸股份,1
华鑫股份,1
申达股份,1
新世界,1
棱光实业,1
龙头股份,1
中技控股,1
浦东金桥,1
爱建集团,1
城投控股,1
锦江投资,1
强生控股,1
陆家嘴,1
天目药业,1
川投能源,1
中华企业,1
交运股份,1
航天通信,1
上海普天,1
万鸿集团,1
金龙汽车,1
亚通股份,1
绿庭投资,1
彩虹股份,1
南京医药,1
天津港,1
东软集团,1
佳都科技,1
中国高科,1
湖南海利,1
S前锋,1
中茵股份,1
江苏索普,1
上实发展,1
东方银星,1
厦门国贸,1
洲际油气,1
安徽合力,1
通策医疗,1
中电广通,1
中航重机,1
园城黄金,1
运盛医疗,1
祥龙电业,1
汉商集团,1
南京熊猫,1
东方通信,1
浙大网新,1
天津磁卡,1
新奥股份,1
益民集团,1
新华传媒,1
兰生股份,1
香溢融通,1
上海机电,1
界龙实业,1
海通证券,1
上海九百,1
四川长虹,1
上工申贝,1
宝信软件,1
同济科技,1
万里股份,1
海欣股份,1
春兰股份,1
航天长峰,1
长百集团,1
京城股份,1
哈投股份,1
中炬高新,1
航天电子,1
杉杉股份,1
中航动力,1
厦门空港,1
广安爱众,1
宁波热电,1
四创电子,1
九州通,1
中南传媒,1
中国化学,1
陕西煤业,1
广汽集团,1
会稽山,1
上海医药,1
中信重工,1
星宇股份,1
中海油服,1
中国国旅,1
方正证券,1
凤凰传媒,1
联明股份,1
北特科技,1
长白山,1
川仪股份,1
中材节能,1
莎普爱思,1
亚邦股份,1
应流股份,1
依顿电子,1
今世缘,1
贵人鸟,1
东方电缆,1
禾丰牧业,1
福斯特,1
民生银行,2
包钢股份,2
浙能电力,2
中国石化,2
三一重工,2
四川路桥,2
保利地产,2
中国医药,2
五矿发展,2
古越龙山,2
宇通客车,2
*ST银鸽,2
钢构工程,2
宋都股份,2
澄星股份,2
人福医药,2
金花股份,2
中葡股份,2
云天化,2
明星电力,2
亚盛集团,2
国金证券,2
北方稀土,2
东睦股份,2
西宁特钢,2
长江投资,2
