id,modularity_class
2,0
1,0
4,0
5,0
7,0
10,0
11,0
13,0
17,0
18,0
21,0
22,0
24,0
25,0
29,0
31,0
32,0
35,0
37,0
38,0
40,0
41,0
42,0
43,0
44,0
47,0
48,0
50,0
51,0
53,0
54,0
55,0
56,0
60,0
64,0
66,0
72,0
73,0
74,0
77,0
78,0
79,0
80,0
81,0
83,0
84,0
85,0
95,0
96,0
97,0
100,0
101,0
103,0
104,0
107,0
108,0
109,0
110,0
111,0
112,0
114,0
117,0
118,0
119,0
121,0
126,0
128,0
132,0
134,0
135,0
136,0
137,0
141,0
143,0
149,0
150,0
154,0
155,0
158,0
159,0
160,0
162,0
168,0
170,0
173,0
178,0
179,0
183,0
184,0
188,0
195,0
201,0
202,0
203,0
207,0
209,0
210,0
211,0
212,0
213,0
217,0
219,0
220,0
222,0
224,0
226,0
229,0
231,0
232,0
242,0
243,0
244,0
245,0
247,0
249,0
251,0
252,0
254,0
256,0
257,0
259,0
260,0
263,0
264,0
266,0
273,0
277,0
282,0
284,0
285,0
286,0
287,0
288,0
289,0
291,0
302,0
303,0
304,0
306,0
307,0
308,0
310,0
312,0
313,0
314,0
315,0
318,0
319,0
321,0
322,0
323,0
324,0
327,0
331,0
332,0
340,0
344,0
345,0
347,0
349,0
355,0
356,0
360,0
365,0
367,0
368,0
369,0
370,0
372,0
375,0
377,0
382,0
383,0
384,0
385,0
387,0
388,0
389,0
391,0
392,0
396,0
399,0
400,0
403,0
406,0
407,0
408,0
411,0
414,0
417,0
418,0
420,0
421,0
424,0
425,0
426,0
427,0
430,0
431,0
432,0
433,0
439,0
440,0
441,0
443,0
444,0
447,0
449,0
452,0
457,0
461,0
463,0
464,0
466,0
467,0
471,0
472,0
473,0
476,0
477,0
480,0
481,0
482,0
483,0
485,0
486,0
487,0
489,0
492,0
493,0
495,0
499,0
500,0
502,0
504,0
505,0
508,0
509,0
511,0
512,0
514,0
515,0
516,0
520,0
522,0
524,0
531,0
533,0
534,0
535,0
539,0
540,0
541,0
543,0
547,0
553,0
554,0
555,0
560,0
566,0
568,0
569,0
572,0
579,0
581,0
584,0
585,0
587,0
589,0
590,0
592,0
593,0
594,0
595,0
597,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
611,0
614,0
616,0
617,0
622,0
623,0
624,0
627,0
629,0
632,0
635,0
636,0
638,0
641,0
642,0
644,0
646,0
648,0
652,0
657,0
659,0
660,0
661,0
662,0
663,0
664,0
666,0
667,0
668,0
670,0
671,0
675,0
679,0
681,0
682,0
683,0
686,0
687,0
688,0
689,0
690,0
691,0
693,0
696,0
699,0
702,0
703,0
704,0
705,0
707,0
708,0
710,0
711,0
714,0
720,0
722,0
724,0
727,0
728,0
731,0
732,0
735,0
738,0
739,0
741,0
745,0
746,0
747,0
749,0
751,0
755,0
757,0
758,0
760,0
761,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
776,0
785,0
793,0
794,0
797,0
798,0
802,0
804,0
808,0
809,0
810,0
811,0
812,0
813,0
815,0
816,0
817,0
818,0
822,0
823,0
825,0
826,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
849,0
854,0
856,0
858,0
860,0
861,0
862,0
867,0
869,0
871,0
872,0
876,0
877,0
881,0
883,0
885,0
887,0
893,0
895,0
896,0
897,0
898,0
900,0
901,0
902,0
904,0
905,0
907,0
908,0
910,0
911,0
914,0
915,0
916,0
918,0
923,0
925,0
926,0
932,0
934,0
935,0
936,0
938,0
939,0
940,0
942,0
943,0
944,0
945,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
969,0
970,0
971,0
972,0
976,0
980,0
981,0
984,0
986,0
987,0
988,0
990,0
991,0
993,0
994,0
996,0
997,0
998,0
999,0
1001,0
1002,0
1003,0
1005,0
1008,0
1009,0
1010,0
1012,0
1013,0
1014,0
1015,0
1016,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1034,0
1035,0
1036,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1058,0
1059,0
1061,0
1062,0
3,1
6,1
8,1
9,1
12,1
14,1
15,1
16,1
19,1
20,1
23,1
26,1
27,1
28,1
30,1
33,1
34,1
36,1
39,1
45,1
46,1
49,1
52,1
57,1
58,1
59,1
61,1
62,1
63,1
65,1
67,1
68,1
69,1
70,1
71,1
75,1
76,1
82,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
98,1
99,1
102,1
105,1
106,1
113,1
115,1
116,1
120,1
122,1
123,1
124,1
125,1
127,1
129,1
130,1
131,1
133,1
138,1
139,1
140,1
142,1
144,1
145,1
146,1
147,1
148,1
151,1
152,1
153,1
156,1
157,1
161,1
163,1
164,1
165,1
166,1
167,1
169,1
171,1
172,1
174,1
175,1
176,1
177,1
180,1
181,1
182,1
185,1
186,1
187,1
189,1
190,1
191,1
192,1
193,1
194,1
196,1
197,1
198,1
199,1
200,1
204,1
205,1
206,1
208,1
214,1
215,1
216,1
218,1
221,1
223,1
225,1
227,1
228,1
230,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
246,1
248,1
250,1
253,1
255,1
258,1
261,1
262,1
265,1
267,1
268,1
269,1
270,1
271,1
272,1
274,1
275,1
276,1
278,1
279,1
280,1
281,1
283,1
290,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
305,1
309,1
311,1
316,1
317,1
320,1
325,1
326,1
328,1
329,1
330,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
341,1
342,1
343,1
346,1
348,1
350,1
351,1
352,1
353,1
354,1
357,1
358,1
359,1
361,1
362,1
363,1
364,1
366,1
371,1
373,1
374,1
376,1
378,1
379,1
380,1
381,1
386,1
390,1
393,1
394,1
395,1
397,1
398,1
401,1
