id,modularity_class
武钢股份,0
首创股份,0
包钢股份,0
华夏银行,0
民生银行,0
上港集团,0
山东钢铁,0
浙能电力,0
中国石化,0
南方航空,0
中直股份,0
四川路桥,0
中国联通,0
宁波联合,0
中江地产,0
黄山旅游,0
古越龙山,0
海信电器,0
华润双鹤,0
皖维高新,0
宇通客车,0
葛洲坝,0
*ST银鸽,0
*ST光学,0
新疆天业,0
青鸟华光,0
宋都股份,0
人福医药,0
金花股份,0
东风科技,0
海泰发展,0
博信股份,0
同仁堂,0
东方金钰,0
中视传媒,0
特变电工,0
啤酒花,0
禾嘉股份,0
云天化,0
广州发展,0
重庆路桥,0
亚盛集团,0
国金证券,0
中科英华,0
东睦股份,0
三峡水利,0
长江投资,0
浙江东方,0
郑州煤电,0
铁龙物流,0
太极集团,0
岷江水电,0
重庆啤酒,0
东湖高新,0
道博股份,0
中青旅,0
西部资源,0
长春一东,0
廊坊发展,0
航天机电,0
宝硕股份,0
中体产业,0
巨化股份,0
天坛生物,0
*ST南纸,0
联美控股,0
武汉控股,0
太原重工,0
上海贝岭,0
黄河旋风,0
美都能源,0
中国巨石,0
东安动力,0
S佳通,0
格力地产,0
长城电工,0
中牧股份,0
复星医药,0
伊力特,0
大唐电信,0
江苏吴中,0
金宇集团,0
福日电子,0
西藏药业,0
*ST秦岭,0
南山铝业,0
海南航空,0
太龙药业,0
鲁商置业,0
天津松江,0
赤天化,0
昌九生化,0
沧州大化,0
山水文化,0
海南椰岛,0
华业资本,0
南纺股份,0
冠农股份,0
中恒集团,0
鑫科材料,0
首旅酒店,0
广晟有色,0
凯乐科技,0
阳光照明,0
ST景谷,0
北京城建,0
海正药业,0
国电南自,0
赣粤高速,0
外运发展,0
开开实业,0
恒瑞医药,0
东方创业,0
重庆港九,0
太化股份,0
南钢股份,0
浦东建设,0
亿阳信通,0
华仪电气,0
中电远达,0
三峡新材,0
鄂尔多斯,0
*ST南化,0
曙光股份,0
商业城,0
酒钢宏兴,0
华泰股份,0
万华化学,0
荣华实业,0
平高电气,0
上海家化,0
洪都航空,0
国栋建设,0
瀚蓝环境,0
西藏天路,0
中新药业,0
天通股份,0
西藏珠峰,0
天利高新,0
华夏幸福,0
长江通信,0
亚宝药业,0
浙江龙盛,0
敦煌种业,0
精伦电子,0
新农开发,0
华联综超,0
宁波韵升,0
五洲交通,0
中文传媒,0
华菱星马,0
天科股份,0
金地集团,0
山东金泰,0
海越股份,0
龙净环保,0
金瑞科技,0
盛和资源,0
金山股份,0
海澜之家,0
抚顺特钢,0
*ST海润,0
动力源,0
国电南瑞,0
三友化工,0
湘电股份,0
江淮汽车,0
天润乳业,0
现代制药,0
仰帆控股,0
昆药集团,0
柳化股份,0
三元股份,0
吉恩镍业,0
冠豪高新,0
北方导航,0
片仔癀,0
通威股份,0
*ST国通,0
金证股份,0
宁夏建材,0
博通股份,0
时代新材,0
贵研铂业,0
士兰微,0
洪城水业,0
空港股份,0
好当家,0
百利电气,0
六国化工,0
湘邮科技,0
千金药业,0
双良节能,0
信威集团,0
天药股份,0
龙元建设,0
晋西车轴,0
精工钢构,0
驰宏锌锗,0
烽火通信,0
科达洁能,0
华丽家族,0
国药股份,0
海岛建设,0
方大炭素,0
置信电气,0
康美药业,0
贵州茅台,0
贵航股份,0
长园集团,0
菲达环保,0
江南高纤,0
豫光金铅,0
栖霞建设,0
中国软件,0
亿晶光电,0
*ST狮头,0
时代出版,0
方兴科技,0
慧球科技,0
大西洋,0
江西长运,0
国睿科技,0
法拉电子,0
济川药业,0
山鹰纸业,0
安阳钢铁,0
恒生电子,0
康恩贝,0
精达股份,0
天华院,0
卧龙电气,0
海油工程,0
长电科技,0
金晶科技,0
益佰制药,0
中孚实业,0
仪电电子,0
市北高新,0
汇通能源,0
*ST沪科,0
中毅达,0
神奇制药,0
国新能源,0
氯碱化工,0
天宸股份,0
复旦复华,0
申达股份,0
新世界,0
棱光实业,0
龙头股份,0
浙报传媒,0
中技控股,0
三爱富,0
东方明珠,0
新黄浦,0
浦东金桥,0
号百控股,0
爱建集团,0
*ST乐电,0
城投控股,0
锦江投资,0
中安消,0
电子城,0
新南洋,0
强生控股,0
陆家嘴,0
天目药业,0
东阳光科,0
川投能源,0
中华企业,0
航天通信,0
金山开发,0
上海普天,0
万鸿集团,0
金龙汽车,0
青岛海尔,0
*ST阳化,0
亚通股份,0
大商股份,0
欧亚集团,0
均胜电子,0
彩虹股份,0
海博股份,0
南宁百货,0
南京医药,0
金瑞矿业,0
凤凰股份,0
天津港,0
东软集团,0
祁连山,0
*ST金化,0
云维股份,0
佳都科技,0
中国高科,0
湖南海利,0
*ST新梅,0
S前锋,0
苏州高新,0
华远地产,0
江苏索普,0
上实发展,0
江中药业,0
东方银星,0
浪潮软件,0
洲际油气,0
通策医疗,0
中航重机,0
运盛医疗,0
祥龙电业,0
综艺股份,0
广誉远,0
西藏城投,0
汉商集团,0
南京熊猫,0
东方通信,0
新潮实业,0
友好集团,0
通宝能源,0
新钢股份,0
鲁银投资,0
中储股份,0
保税科技,0
浙大网新,0
天津磁卡,0
福建水泥,0
鹏博士,0
悦达投资,0
昆明机床,0
神马股份,0
华北制药,0
厦工股份,0
上海物贸,0
世茂股份,0
新华传媒,0
兰生股份,0
成商集团,0
人民同泰,0
香溢融通,0
上海机电,0
上海九百,0
四川长虹,0
上工申贝,0
宝信软件,0
同济科技,0
万里股份,0
春兰股份,0
航天长峰,0
长百集团,0
银座股份,0
王府井,0
京城股份,0
哈投股份,0
通化东宝,0
智慧能源,0
*ST厦华,0
中炬高新,0
梅花生物,0
创业环保,0
航天电子,0
博瑞传播,0
亚泰集团,0
杉杉股份,0
宏发股份,0
伊利股份,0
新疆众和,0
中房股份,0
秋林集团,0
中航动力,0
广日股份,0
厦门空港,0
渤海活塞,0
株冶集团,0
岳阳林纸,0
中材国际,0
宝胜股份,0
健民集团,0
广安爱众,0
宁波热电,0
惠而浦,0
四创电子,0
文山电力,0
九州通,0
晋亿实业,0
柳钢股份,0
重庆钢铁,0
文峰股份,0
隆基股份,0
玉龙股份,0
一拖股份,0
赛轮金宇,0
中南传媒,0
四川成渝,0
中国国航,0
深圳燃气,0
北京银行,0
东材科技,0
吉鑫科技,0
林洋电子,0
陕西煤业,0
环旭电子,0
桐昆股份,0
广汽集团,0
骆驼股份,0
江南嘉捷,0
新华保险,0
百隆东方,0
陕鼓动力,0
兴业证券,0
工商银行,0
九牧王,0
会稽山,0
上海医药,0
中信重工,0
明泰铝业,0
滨化股份,0
风范股份,0
星宇股份,0
中海油服,0
中国石油,0
正泰电器,0
中国国旅,0
中煤能源,0
方正证券,0
国投新集,0
凤凰传媒,0
吉视传媒,0
金钼股份,0
大唐发电,0
金隅股份,0
丰林集团,0
人民网,0
宏昌电子,0
龙宇燃油,0
晶方科技,0
联明股份,0
喜临门,0
北特科技,0
长白山,0
川仪股份,0
康尼机电,0
翠微股份,0
中材节能,0
华贸物流,0
渤海轮渡,0
莎普爱思,0
亚邦股份,0
海天味业,0
应流股份,0
依顿电子,0
今世缘,0
贵人鸟,0
禾丰牧业,0
纽威股份,0
隆鑫通用,0
福斯特,0
洛阳钼业,0
白云机场,1
浦发银行,1
东风汽车,1
中国国贸,1
上海机场,1
华能国际,1
皖通高速,1
日照港,1
宝钢股份,1
中原高速,1
上海电力,1
中海发展,1
华电国际,1
中信证券,1
三一重工,1
福建高速,1
楚天高速,1
招商银行,1
歌华有线,1
保利地产,1
浙江广厦,1
华润万东,1
中国医药,1
象屿股份,1
五矿发展,1
国投安信,1
南京高科,1
冠城大通,1
浙江富润,1
钢构工程,1
上海梅林,1
保千里,1
澄星股份,1
中葡股份,1
*ST明科,1
大名城,1
哈高科,1
开创国际,1
林海股份,1
同方股份,1
明星电力,1
青山纸业,1
上汽集团,1
永鼎股份,1
美尔雅,1
北方稀土,1
天成控股,1
浙江东日,1
东方航空,1
西宁特钢,1
中国卫星,1
宏图高科,1
兰花科创,1
杭钢股份,1
金健米业,1
弘业股份,1
波导股份,1
乐凯胶片,1
浪莎股份,1
兴发集团,1
金发科技,1
*ST新亿,1
商赢环球,1
中国船舶,1
维科精华,1
建发股份,1
华升股份,1
永泰能源,1
大龙地产,1
香江控股,1
新日恒力,1
福田汽车,1
上海建工,1
卧龙地产,1
雅戈尔,1
黑化股份,1
瑞茂通,1
生益科技,1
光电股份,1
莲花味精,1
国中水务,1
兖州煤业,1
吉林森工,1
锦州港,1
华资实业,1
创兴资源,1
金种子酒,1
哈空调,1
有研新材,1
安彩高科,1
新湖中宝,1
罗顿发展,1
紫江企业,1
江泉实业,1
亚星客车,1
长春经开,1
浙江医药,1
全柴动力,1
江苏阳光,1
升华拜克,1
青岛碱业,1
凌钢股份,1
金鹰股份,1
大杨创世,1
民丰特纸,1
桂冠电力,1
铜峰电子,1
云南城投,1
时代万恒,1
*ST中昌,1
青海华鼎,1
万通地产,1
*ST成城,1
延长化建,1
两面针,1
广汇能源,1
大湖股份,1
北方股份,1
航天信息,1
嘉化能源,1
武昌鱼,1
亿利能源,1
中央商场,1
钱江水利,1
羚锐制药,1
江苏舜天,1
大恒科技,1
西水股份,1
广汇汽车,1
安琪酵母,1
蓝星新材,1
维维股份,1
标准股份,1
恒顺醋业,1
桂东电力,1
农发种业,1
营口港,1
巢东股份,1
亚星化学,1
振华重工,1
天房发展,1
华发股份,1
大东方,1
兰太实业,1
宏达股份,1
白云山,1
长春燃气,1
国机汽车,1
澳柯玛,1
美克家居,1
航天动力,1
大橡塑,1
阳泉煤业,1
山东高速,1
旭光股份,1
恒丰纸业,1
国旅联合,1
华微电子,1
江西铜业,1
联创光电,1
通葡股份,1
红星发展,1
西南证券,1
三房巷,1
万向德农,1
中航电子,1
首开股份,1
宁沪高速,1
宝光股份,1
健康元,1
青海春天,1
广东明珠,1
北巴传媒,1
江山股份,1
成发科技,1
东华实业,1
盘江股份,1
安源煤业,1
红豆股份,1
大有能源,1
*ST安泰,1
华胜天成,1
小商品城,1
青松建化,1
华鲁恒升,1
中远航运,1
瑞贝卡,1
华纺股份,1
涪陵电力,1
宝钛股份,1
石岘纸业,1
蓝光发展,1
风神股份,1
华光股份,1
杭萧钢构,1
科力远,1
凌云股份,1
风帆股份,1
福能股份,1
扬农化工,1
亨通光电,1
中金黄金,1
鹏欣资源,1
凤竹纺织,1
中化国际,1
航天晨光,1
安徽水利,1
西昌电力,1
香梨股份,1
方大特钢,1
上海能源,1
天富能源,1
黑牡丹,1
腾达建设,1
联环药业,1
中发科技,1
华海药业,1
中天科技,1
中铁二局,1
山东药玻,1
交大昂立,1
宏达矿业,1
天士力,1
国发股份,1
新赛股份,1
莫高股份,1
新疆城建,1
山煤国际,1
山东黄金,1
深高速,1
厦门钨业,1
保变电气,1
九龙山,1
康缘药业,1
老白干酒,1
金自天正,1
迪马股份,1
中珠控股,1
信雅达,1
惠泉啤酒,1
皖江物流,1
万好万家,1
京能电力,1
八一钢铁,1
天地科技,1
海螺水泥,1
新华医疗,1
用友网络,1
广东榕泰,1
泰豪科技,1
龙溪股份,1
大连圣亚,1
新安股份,1
光明乳业,1
北大荒,1
熊猫金控,1
青岛啤酒,1
方正科技,1
大洲兴业,1
绿地控股,1
金杯汽车,1
大众交通,1
老凤祥,1
鼎立股份,1
丰华股份,1
金枫酒业,1
海立股份,1
华鑫股份,1
嘉宝集团,1
双钱股份,1
大众公用,1
万业企业,1
申能股份,1
中源协和,1
同达创业,1
外高桥,1
飞乐音响,1
游久游戏,1
申华控股,1
豫园商城,1
*ST博元,1
信达地产,1
福耀玻璃,1
哈药股份,1
天地源,1
奥瑞德,1
太极实业,1
尖峰集团,1
交运股份,1
四川金顶,1
南京新百,1
京投银泰,1
珠江实业,1
中船防务,1
刚泰控股,1
上海石化,1
上海三毛,1
东百集团,1
绿庭投资,1
匹凸匹,1
湖南天雁,1
工大高新,1
沱牌舍得,1
三安光电,1
物产中大,1
中航资本,1
曲江文旅,1
*ST常林,1
盛屯矿业,1
*ST松辽,1
大连热电,1
百花村,1
首商股份,1
宁波富达,1
华电能源,1
鲁北化工,1
重庆百货,1
实达集团,1
新华锦,1
中粮屯河,1
兰州民百,1
辽宁成大,1
山西焦化,1
华域汽车,1
一汽富维,1
华银电力,1
中茵股份,1
大连控股,1
西藏旅游,1
天海投资,1
锦江股份,1
厦门国贸,1
长江传媒,1
红阳能源,1
中航黑豹,1
安徽合力,1
中电广通,1
园城黄金,1
宁波富邦,1
*ST水井,1
辅仁药业,1
鲁信创投,1
新华百货,1
鲁抗医药,1
轻纺城,1
京能置业,1
云煤能源,1
ST宜纸,1
国电电力,1
钱江生化,1
宁波海运,1
华新水泥,1
新奥股份,1
天业股份,1
马钢股份,1
山西汾酒,1
东方集团,1
杭州解百,1
安信信托,1
ST宏盛,1
中路股份,1
耀皮玻璃,1
隧道股份,1
津劝业,1
益民集团,1
百联股份,1
广电网络,1
第一医药,1
申通地铁,1
界龙实业,1
海通证券,1
上柴股份,1
丹化科技,1
自仪股份,1
华东电脑,1
海欣股份,1
龙建股份,1
宁波中百,1
北京城乡,1
南通科技,1
内蒙华电,1
百大集团,1
星湖科技,1
梅雁吉祥,1
石化油服,1
东方电气,1
洛阳玻璃,1
中国嘉陵,1
华联矿业,1
博闻科技,1
国投电力,1
南京化纤,1
宝诚股份,1
张江高科,1
中海海盛,1
三联商社,1
长江电力,1
重庆燃气,1
东方证券,1
江苏有线,1
*ST中鲁,1
福成五丰,1
博汇纸业,1
北方创业,1
郴电国际,1
恒源煤电,1
新五丰,1
宜华木业,1
北矿磁材,1
汇鸿集团,1
*ST建机,1
雷鸣科化,1
科达股份,1
航民股份,1
赤峰黄金,1
贵绳股份,1
马应龙,1
开滦股份,1
招商证券,1
唐山港,1
大同煤业,1
大秦铁路,1
金陵饭店,1
连云港,1
南京银行,1
宝泰隆,1
陕西黑猫,1
节能风电,1
宁波港,1
春秋航空,1
西部黄金,1
中国神华,1
太平洋,1
恒立油缸,1
昊华能源,1
中国一重,1
华鼎股份,1
