id,label,modularity_class
2,,0
1,,0
3,,0
4,,0
5,,0
6,,1
7,,0
8,,1
9,,1
10,,0
11,,1
12,,1
13,,1
14,,1
15,,0
16,,1
17,,0
18,,1
19,,1
20,,1
21,,0
22,,1
23,,0
24,,0
25,,1
26,,0
27,,0
28,,0
29,,0
30,,1
31,,1
32,,1
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,1
40,,0
41,,1
42,,1
43,,0
44,,0
45,,1
46,,0
47,,0
48,,1
49,,0
50,,1
51,,1
52,,0
53,,0
54,,1
55,,0
56,,0
57,,0
58,,0
59,,1
60,,1
61,,1
62,,1
63,,1
64,,0
65,,1
66,,1
67,,1
68,,0
69,,1
70,,1
71,,0
72,,0
73,,0
74,,0
75,,0
76,,1
77,,0
78,,0
79,,0
80,,0
81,,1
82,,0
83,,0
84,,0
85,,1
86,,0
87,,1
88,,1
89,,0
90,,1
91,,0
92,,0
93,,1
94,,0
95,,1
96,,1
97,,0
98,,1
99,,0
100,,1
101,,0
102,,1
103,,1
104,,0
105,,0
106,,0
107,,0
108,,0
109,,1
110,,1
111,,0
112,,1
113,,1
114,,0
115,,1
116,,0
117,,1
118,,1
119,,1
120,,0
121,,0
122,,1
123,,0
124,,0
125,,0
126,,0
127,,0
128,,0
129,,1
130,,0
131,,0
132,,1
133,,1
134,,0
135,,1
136,,0
137,,1
138,,0
139,,0
140,,0
141,,1
142,,0
143,,1
144,,0
145,,1
146,,0
147,,0
148,,0
149,,0
150,,0
151,,1
152,,0
153,,0
154,,0
155,,0
156,,1
157,,1
158,,0
159,,0
160,,0
161,,1
162,,1
163,,0
164,,1
165,,1
166,,1
167,,1
168,,0
169,,1
170,,0
171,,1
172,,1
173,,0
174,,0
175,,1
176,,0
177,,1
178,,0
179,,0
180,,0
181,,1
182,,0
183,,1
184,,1
185,,0
186,,1
187,,1
188,,0
189,,1
190,,0
191,,0
192,,0
193,,0
194,,0
195,,1
196,,0
197,,0
198,,1
199,,0
200,,0
201,,0
202,,0
203,,1
204,,0
205,,0
206,,0
207,,0
208,,0
209,,0
210,,0
211,,0
212,,0
213,,1
214,,1
215,,1
216,,1
217,,0
218,,1
219,,1
220,,0
221,,0
222,,0
223,,0
224,,0
225,,1
226,,1
227,,0
228,,0
229,,0
230,,1
231,,0
232,,1
233,,1
234,,0
235,,1
236,,1
237,,1
238,,0
239,,0
240,,0
241,,1
242,,1
243,,0
244,,0
245,,0
246,,0
247,,0
248,,1
249,,1
250,,1
251,,0
252,,1
253,,0
254,,1
255,,1
256,,0
257,,1
258,,1
259,,1
260,,1
261,,0
262,,1
263,,0
264,,1
265,,1
266,,0
267,,0
268,,0
269,,0
270,,0
271,,0
272,,0
273,,1
274,,0
275,,1
276,,0
277,,1
278,,0
279,,0
280,,0
281,,0
282,,1
283,,1
284,,0
285,,0
286,,0
287,,1
288,,0
289,,1
290,,1
291,,0
292,,1
293,,0
294,,1
295,,0
296,,0
297,,1
298,,0
299,,1
300,,0
301,,0
302,,0
303,,0
304,,0
305,,0
306,,1
307,,0
308,,0
309,,0
310,,1
311,,0
312,,0
313,,0
314,,1
315,,0
316,,0
317,,0
318,,1
319,,0
320,,0
321,,0
322,,0
323,,0
324,,0
325,,0
326,,1
327,,0
328,,1
329,,1
330,,1
331,,1
332,,0
333,,1
334,,0
335,,1
336,,0
337,,1
338,,1
339,,1
340,,0
341,,1
342,,1
343,,1
344,,1
345,,1
346,,0
347,,0
348,,0
349,,0
350,,1
351,,1
352,,0
353,,0
354,,1
355,,1
356,,1
357,,0
358,,0
359,,1
360,,1
361,,1
362,,0
363,,1
364,,1
365,,1
366,,1
367,,0
368,,0
369,,1
370,,0
371,,1
372,,1
373,,0
374,,0
375,,1
376,,0
377,,0
378,,0
379,,0
380,,1
381,,0
382,,0
383,,1
384,,0
385,,0
386,,0
387,,0
388,,0
389,,0
390,,0
391,,0
392,,0
393,,1
394,,1
395,,0
396,,0
397,,1
398,,1
399,,0
400,,0
401,,1
402,,0
403,,1
404,,1
405,,1
406,,0
407,,0
408,,1
409,,0
410,,0
411,,0
412,,0
413,,1
414,,0
415,,0
416,,1
417,,0
418,,0
419,,1
420,,1
421,,1
422,,1
423,,1
424,,0
425,,0
426,,0
427,,0
428,,0
429,,1
430,,1
431,,0
432,,0
433,,0
434,,1
435,,0
436,,0
437,,1
438,,1
439,,0
440,,0
441,,0
442,,0
443,,1
444,,0
445,,1
446,,1
447,,0
448,,1
449,,1
450,,1
451,,1
452,,0
453,,1
454,,1
455,,0
456,,0
457,,0
458,,1
459,,1
460,,1
461,,0
462,,1
463,,1
464,,1
465,,0
466,,0
467,,0
468,,1
469,,0
470,,1
471,,0
472,,1
473,,1
474,,1
475,,0
476,,1
477,,1
478,,1
479,,0
480,,0
481,,1
482,,1
483,,0
484,,0
485,,0
486,,0
487,,0
488,,1
489,,1
490,,1
491,,1
492,,0
493,,0
494,,1
495,,0
496,,0
497,,1
498,,1
499,,0
500,,0
501,,1
502,,0
503,,1
504,,0
505,,0
506,,1
507,,1
508,,0
509,,1
510,,1
511,,1
512,,0
513,,1
514,,0
515,,0
516,,0
517,,1
518,,1
519,,0
520,,0
521,,1
522,,1
523,,1
524,,0
525,,1
526,,1
527,,1
528,,1
529,,1
530,,1
531,,0
532,,1
533,,1
534,,0
535,,0
536,,1
537,,0
538,,0
539,,0
540,,0
541,,0
542,,0
543,,0
544,,1
545,,1
546,,1
547,,0
548,,1
549,,0
550,,0
551,,1
552,,1
553,,0
554,,1
555,,0
556,,1
557,,1
558,,1
559,,1
560,,0
561,,0
562,,1
563,,1
564,,1
565,,0
566,,0
567,,0
568,,1
569,,0
570,,0
571,,1
572,,1
573,,1
574,,1
575,,1
576,,1
577,,1
578,,0
579,,0
580,,1
581,,1
582,,1
583,,1
584,,0
585,,1
586,,1
587,,1
588,,1
589,,0
590,,0
591,,1
592,,1
593,,1
594,,0
595,,0
596,,1
597,,0
598,,1
599,,1
600,,1
601,,0
602,,1
603,,1
604,,1
605,,1
606,,1
607,,1
608,,1
609,,0
610,,0
611,,1
612,,0
613,,1
614,,0
615,,0
616,,0
617,,0
