id,modularity_class
2,2
1,2
4,1
5,2
6,0
7,2
8,0
9,1
3,1
10,1
12,0
13,1
14,0
15,1
16,1
17,1
18,1
11,1
19,0
20,1
21,1
22,0
23,1
24,2
25,0
26,1
27,1
28,1
29,2
30,0
31,0
32,0
33,1
34,1
35,2
36,2
37,1
38,2
39,0
40,2
41,0
42,0
43,1
44,2
45,0
46,1
47,2
48,0
49,1
50,1
51,0
52,1
53,2
54,0
55,2
56,2
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,2
69,0
70,0
71,1
72,2
73,2
74,2
75,1
76,0
77,1
78,1
79,2
80,2
81,0
82,1
83,2
84,2
85,1
86,1
87,0
88,0
89,2
90,0
91,1
92,1
93,0
94,1
95,1
96,0
97,2
98,0
99,0
100,0
101,2
102,0
103,1
104,2
105,1
106,1
107,2
108,2
109,1
110,0
111,1
112,2
113,0
114,2
115,0
116,1
117,0
118,0
119,0
120,1
121,2
122,0
123,1
124,0
125,1
126,1
127,0
128,2
129,0
130,2
131,1
132,0
133,0
134,2
135,1
136,1
137,0
138,2
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,2
151,0
152,1
153,2
154,2
155,1
156,0
157,0
158,2
159,2
160,2
161,0
162,0
163,1
164,0
165,0
166,0
167,0
168,2
169,0
170,1
171,0
172,0
173,2
174,1
175,0
176,1
177,0
178,2
179,2
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,2
202,1
203,0
204,1
205,1
206,1
207,2
208,1
209,1
210,2
211,2
212,2
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,2
222,2
223,2
224,1
225,0
226,1
227,1
228,0
229,2
230,0
231,2
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,0
242,0
243,2
244,2
245,2
246,0
247,2
248,0
249,0
250,0
251,2
252,0
253,1
254,0
255,0
256,2
257,0
258,0
259,1
260,1
261,1
262,0
263,1
264,0
265,0
266,2
267,2
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,2
285,2
286,0
287,1
288,2
289,1
290,0
291,2
292,0
293,2
294,0
295,1
296,0
297,0
298,2
299,0
300,2
301,1
302,2
303,2
304,2
305,1
306,0
307,2
308,1
309,1
310,0
311,1
312,2
313,2
314,0
315,2
316,0
317,0
318,0
319,2
320,2
321,2
322,1
323,2
324,2
325,0
326,0
327,2
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,0
336,1
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,1
347,2
348,1
349,2
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,2
368,2
369,0
370,2
371,0
372,0
373,1
374,2
375,0
376,2
377,2
378,0
379,1
380,0
381,1
382,2
383,0
384,2
385,2
386,1
387,1
388,0
389,1
390,0
391,2
392,2
393,0
394,0
395,1
396,1
397,0
398,0
399,1
400,2
401,0
402,2
403,0
404,0
405,0
406,1
407,2
408,0
409,1
410,1
411,2
412,1
413,0
414,2
415,1
416,0
417,1
418,2
419,0
420,0
421,0
422,0
423,0
424,1
425,1
426,1
427,2
428,2
429,0
430,1
431,2
432,2
433,2
434,0
435,1
436,1
437,0
438,0
439,1
440,2
441,2
442,1
443,0
444,2
445,0
446,0
447,2
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,1
464,0
465,1
466,2
467,2
468,0
469,1
470,0
471,2
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,2
481,0
482,0
483,2
484,1
485,2
486,2
487,1
488,0
489,0
490,0
491,0
492,2
493,2
494,0
495,2
496,0
497,1
498,0
499,2
500,2
501,0
502,2
503,0
504,2
505,1
506,0
507,1
508,2
509,0
510,0
511,1
512,1
513,0
514,2
515,1
516,2
517,0
518,0
519,2
520,2
521,0
522,0
523,0
524,2
525,0
526,0
527,0
528,0
529,0
530,1
531,1
532,0
533,1
534,2
535,2
536,0
537,0
538,2
539,1
540,1
541,1
542,2
543,1
544,0
545,1
546,0
547,2
548,0
549,0
550,2
551,1
552,1
553,2
554,0
555,2
556,0
557,0
558,0
559,0
560,2
561,0
562,1
563,0
564,0
565,0
566,2
567,1
568,0
569,2
570,2
571,1
572,0
573,1
574,0
575,0
576,0
577,1
578,1
579,2
580,1
581,1
582,1
583,0
584,1
585,0
586,0
587,2
588,0
589,2
590,2
591,0
592,0
593,0
594,1
595,2
596,0
597,2
598,0
599,0
600,0
601,2
602,0
603,0
604,1
605,0
606,0
607,1
608,1
609,1
610,0
611,0
612,2
613,0
614,1
615,0
616,2
617,2
618,1
619,1
620,1
621,2
622,0
623,2
624,2
625,1
626,1
627,2
628,2
629,2
630,0
631,1
632,1
633,1
634,0
635,2
636,2
637,0
638,2
639,1
640,0
641,1
642,2
643,0
644,2
645,0
646,2
647,0
648,2
649,0
650,1
651,0
652,1
653,0
654,0
655,0
656,0
657,1
658,0
659,0
660,2
661,1
662,2
663,1
664,0
665,0
666,2
667,2
668,2
669,0
670,2
671,0
672,1
673,1
674,2
675,2
676,0
677,0
678,1
679,2
680,0
681,1
682,1
683,2
684,1
685,0
686,1
687,2
688,1
689,2
690,1
691,2
692,0
693,2
694,2
695,1
696,2
697,0
698,1
699,2
700,0
701,2
702,1
703,0
704,1
705,0
706,1
707,2
708,2
709,0
710,2
711,2
712,0
713,2
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,1
722,2
723,1
724,2
725,0
726,2
727,2
728,0
729,0
730,0
731,2
732,1
733,0
734,0
735,2
736,1
737,0
738,2
739,0
740,0
741,0
742,0
743,1
744,0
745,0
746,1
747,2
748,2
749,0
750,1
751,0
752,1
753,2
754,0
755,1
756,0
757,0
758,2
759,0
760,0
761,2
762,0
763,0
764,1
765,1
766,0
767,1
768,1
769,2
770,1
771,1
772,1
773,1
774,1
775,1
776,2
777,2
778,0
779,1
780,0
781,0
782,1
783,1
784,0
785,1
786,0
787,1
788,1
789,0
790,0
791,1
792,2
793,1
794,1
795,0
796,0
797,2
798,2
