id,modularity_class
武钢股份,0
山东钢铁,0
华夏银行,0
南方航空,0
中国联通,0
宁波联合,0
黄山旅游,0
海信电器,0
皖维高新,0
葛洲坝,0
新疆天业,0
啤酒花,0
广州发展,0
青山纸业,0
重庆路桥,0
美尔雅,0
东方航空,0
三峡水利,0
铁龙物流,0
岷江水电,0
东湖高新,0
西部资源,0
*ST南纸,0
太原重工,0
黄河旋风,0
中国巨石,0
东安动力,0
中牧股份,0
南山铝业,0
鲁商置业,0
赤天化,0
昌九生化,0
海南椰岛,0
华业资本,0
凯乐科技,0
北京城建,0
国电南自,0
赣粤高速,0
太化股份,0
南钢股份,0
商业城,0
酒钢宏兴,0
华泰股份,0
国栋建设,0
天利高新,0
华联综超,0
宁波韵升,0
五洲交通,0
金瑞科技,0
金山股份,0
三友化工,0
吉恩镍业,0
时代新材,0
百利电气,0
科力远,0
亨通光电,0
天药股份,0
龙元建设,0
华丽家族,0
江南高纤,0
栖霞建设,0
亿晶光电,0
大西洋,0
山鹰纸业,0
安阳钢铁,0
精达股份,0
氯碱化工,0
大商股份,0
欧亚集团,0
南宁百货,0
*ST金化,0
云维股份,0
*ST新梅,0
苏州高新,0
华远地产,0
江中药业,0
综艺股份,0
西藏城投,0
友好集团,0
新钢股份,0
鲁银投资,0
福建水泥,0
悦达投资,0
昆明机床,0
神马股份,0
华北制药,0
厦工股份,0
人民同泰,0
梅花生物,0
亚泰集团,0
渤海活塞,0
株冶集团,0
岳阳林纸,0
宝胜股份,0
文山电力,0
柳钢股份,0
重庆钢铁,0
中国国航,0
北京银行,0
桐昆股份,0
骆驼股份,0
江南嘉捷,0
交通银行,0
兴业证券,0
工商银行,0
中国石油,0
中国远洋,0
大唐发电,0
金隅股份,0
丰林集团,0
民生银行,1
包钢股份,1
浙能电力,1
中国石化,1
三一重工,1
四川路桥,1
保利地产,1
中国医药,1
五矿发展,1
古越龙山,1
宇通客车,1
*ST银鸽,1
钢构工程,1
宋都股份,1
澄星股份,1
人福医药,1
金花股份,1
中葡股份,1
云天化,1
明星电力,1
亚盛集团,1
国金证券,1
北方稀土,1
东睦股份,1
西宁特钢,1
长江投资,1
郑州煤电,1
兰花科创,1
重庆啤酒,1
兴发集团,1
金发科技,1
*ST新亿,1
永泰能源,1
巨化股份,1
福田汽车,1
上海建工,1
美都能源,1
S佳通,1
国中水务,1
兖州煤业,1
创兴资源,1
复星医药,1
伊力特,1
金种子酒,1
有研新材,1
罗顿发展,1
浙江医药,1
全柴动力,1
海南航空,1
凌钢股份,1
云南城投,1
冠农股份,1
鑫科材料,1
广汇能源,1
广晟有色,1
海正药业,1
武昌鱼,1
中央商场,1
羚锐制药,1
中电远达,1
三峡新材,1
鄂尔多斯,1
安琪酵母,1
维维股份,1
曙光股份,1
恒顺醋业,1
万华化学,1
荣华实业,1
西藏天路,1
宏达股份,1
白云山,1
华夏幸福,1
阳泉煤业,1
浙江龙盛,1
敦煌种业,1
江西铜业,1
红星发展,1
万向德农,1
首开股份,1
海越股份,1
龙净环保,1
江山股份,1
盛和资源,1
盘江股份,1
安源煤业,1
*ST海润,1
大有能源,1
动力源,1
国电南瑞,1
*ST安泰,1
江淮汽车,1
天润乳业,1
昆药集团,1
柳化股份,1
青松建化,1
三元股份,1
冠豪高新,1
片仔癀,1
瑞贝卡,1
宁夏建材,1
宝钛股份,1
士兰微,1
好当家,1
六国化工,1
扬农化工,1
中金黄金,1
鹏欣资源,1
驰宏锌锗,1
烽火通信,1
科达洁能,1
安徽水利,1
上海能源,1
方大炭素,1
置信电气,1
康美药业,1
贵州茅台,1
菲达环保,1
豫光金铅,1
天士力,1
中国软件,1
莫高股份,1
山煤国际,1
山东黄金,1
厦门钨业,1
保变电气,1
时代出版,1
方兴科技,1
康缘药业,1
国睿科技,1
法拉电子,1
济川药业,1
中珠控股,1
康恩贝,1
皖江物流,1
京能电力,1
八一钢铁,1
天地科技,1
金晶科技,1
新华医疗,1
益佰制药,1
中孚实业,1
新安股份,1
光明乳业,1
青岛啤酒,1
中毅达,1
神奇制药,1
金枫酒业,1
国新能源,1
复旦复华,1
浙报传媒,1
三爱富,1
东方明珠,1
新黄浦,1
号百控股,1
外高桥,1
*ST博元,1
电子城,1
新南洋,1
太极实业,1
东阳光科,1
金山开发,1
珠江实业,1
上海石化,1
青岛海尔,1
*ST阳化,1
均胜电子,1
沱牌舍得,1
三安光电,1
中航资本,1
海博股份,1
*ST常林,1
盛屯矿业,1
金瑞矿业,1
凤凰股份,1
祁连山,1
百花村,1
首商股份,1
宁波富达,1
重庆百货,1
山西焦化,1
浪潮软件,1
广誉远,1
新潮实业,1
*ST水井,1
通宝能源,1
新华百货,1
中储股份,1
云煤能源,1
保税科技,1
华新水泥,1
鹏博士,1
山西汾酒,1
ST宏盛,1
上海物贸,1
成商集团,1
上柴股份,1
丹化科技,1
银座股份,1
王府井,1
内蒙华电,1
通化东宝,1
智慧能源,1
*ST厦华,1
石化油服,1
创业环保,1
东方电气,1
博瑞传播,1
华联矿业,1
宏发股份,1
伊利股份,1
新疆众和,1
中房股份,1
秋林集团,1
广日股份,1
北方创业,1
中材国际,1
恒源煤电,1
健民集团,1
惠而浦,1
赤峰黄金,1
开滦股份,1
大同煤业,1
文峰股份,1
宝泰隆,1
隆基股份,1
玉龙股份,1
一拖股份,1
赛轮金宇,1
中国神华,1
恒立油缸,1
昊华能源,1
华鼎股份,1
三江购物,1
