source,target,weight
白云机场,浦发银行,1
东风汽车,浦发银行,1
东风汽车,白云机场,1
中国国贸,浦发银行,1
中国国贸,白云机场,1
首创股份,浦发银行,1
首创股份,白云机场,1
首创股份,中国国贸,1
上海机场,浦发银行,1
上海机场,白云机场,1
上海机场,东风汽车,1
华能国际,白云机场,1
华能国际,武钢股份,1
华能国际,东风汽车,1
华能国际,上海机场,1
皖通高速,白云机场,1
皖通高速,武钢股份,1
皖通高速,东风汽车,1
皖通高速,上海机场,1
皖通高速,华能国际,1
日照港,浦发银行,1
日照港,白云机场,1
日照港,武钢股份,1
日照港,东风汽车,1
日照港,上海机场,1
日照港,华能国际,1
日照港,皖通高速,1
上港集团,浦发银行,1
上港集团,首创股份,1
宝钢股份,武钢股份,1
宝钢股份,华能国际,1
中原高速,浦发银行,1
中原高速,白云机场,1
中原高速,武钢股份,1
中原高速,东风汽车,1
中原高速,中国国贸,1
中原高速,上海机场,1
中原高速,华能国际,1
中原高速,皖通高速,1
中原高速,日照港,1
中原高速,宝钢股份,1
上海电力,浦发银行,1
上海电力,白云机场,1
上海电力,武钢股份,1
上海电力,东风汽车,1
上海电力,上海机场,1
上海电力,华能国际,1
上海电力,皖通高速,1
上海电力,日照港,1
上海电力,中原高速,1
浙能电力,上港集团,1
中海发展,白云机场,1
中海发展,武钢股份,1
中海发展,东风汽车,1
中海发展,华能国际,1
中海发展,皖通高速,1
中海发展,日照港,1
中海发展,宝钢股份,1
中海发展,中原高速,1
中海发展,上海电力,1
华电国际,浦发银行,1
华电国际,白云机场,1
华电国际,武钢股份,1
华电国际,东风汽车,1
华电国际,上海机场,1
华电国际,华能国际,1
华电国际,皖通高速,1
华电国际,日照港,1
华电国际,宝钢股份,1
华电国际,中原高速,1
华电国际,上海电力,1
华电国际,中海发展,1
中国石化,包钢股份,1
南方航空,武钢股份,1
南方航空,中海发展,1
中信证券,浦发银行,1
中信证券,中国国贸,1
中信证券,首创股份,1
福建高速,浦发银行,1
福建高速,白云机场,1
福建高速,武钢股份,1
福建高速,东风汽车,1
福建高速,中国国贸,1
福建高速,上海机场,1
福建高速,华能国际,1
福建高速,皖通高速,1
福建高速,日照港,1
福建高速,宝钢股份,1
福建高速,中原高速,1
福建高速,上海电力,1
福建高速,中海发展,1
福建高速,华电国际,1
楚天高速,白云机场,1
楚天高速,武钢股份,1
楚天高速,中国国贸,1
楚天高速,华能国际,1
楚天高速,皖通高速,1
楚天高速,日照港,1
楚天高速,宝钢股份,1
楚天高速,中原高速,1
楚天高速,上海电力,1
楚天高速,中海发展,1
楚天高速,华电国际,1
楚天高速,福建高速,1
招商银行,武钢股份,1
招商银行,华能国际,1
招商银行,日照港,1
招商银行,宝钢股份,1
招商银行,中原高速,1
招商银行,中海发展,1
招商银行,华电国际,1
招商银行,南方航空,1
招商银行,楚天高速,1
歌华有线,浦发银行,1
歌华有线,白云机场,1
歌华有线,东风汽车,1
歌华有线,中国国贸,1
歌华有线,首创股份,1
歌华有线,上海机场,1
歌华有线,皖通高速,1
歌华有线,日照港,1
歌华有线,上港集团,1
歌华有线,中原高速,1
歌华有线,上海电力,1
歌华有线,华电国际,1
歌华有线,福建高速,1
歌华有线,楚天高速,1
中直股份,浦发银行,1
中直股份,白云机场,1
中直股份,首创股份,1
